lr	dc	sizes	pretrain_lr	pretrain_n_epochs	pretrain_CDk	seed	best_it	train1	valid1	test1	train2	valid2	test2
0.01	0	[200,100]	0.01	10	1	1234	43	0.0292983329186	0.1237	0.1207	0.120777241229	0.445547235093	0.440961553369
0.01	0	[200,100]	0.01	10	1	1234	43	0.0292983329186	0.1237	0.1207	0.120777241229	0.445547235093	0.440961553369
0.1	0	[200,100]	0.01	10	1	1234	24	0.0100149290868	0.1334	0.1289	0.0304282351538	0.74049225121	0.681836233563
0.1	0	[200,100]	0.1	10	1	1234	15	0.0943331674546	0.1788	0.1724	0.304933101967	0.856697783771	0.82479175184
0.1	0	[200,100]	0.01	1	1	1234	6	0.075329684001	0.1403	0.1392	0.219293034641	0.52120577611	0.49653205696
0.1	0	[200,100]	0.01	1	10	1234	16	0.028831798955	0.131	0.1298	0.0792054784129	0.613738153689	0.604029163899
0.1	0	[200,100,50]	0.01	1	1	1234	4	0.100211495397	0.1456	0.1394	0.312640120379	0.504966159424	0.492347980635
0.001	0	[200,100]	0.01	10	1	1234	132	0.0989052002986	0.1362	0.1331	0.337138923697	0.470323721249	0.454587078984
0.01	0	[200,100]	0.01	10	1	1234	130	0.00699800945509	0.1288	0.1264	0.0285345013444	0.602242558561	0.580422154452
